Key,Id,English(en),Korean (South Korea)(ko-KR)
30150,,던전에서 몬스터를 10마리 처치하세요.,던전에서 몬스터를 10마리 처치하세요.
20160,,한 단계 더 성장,한 단계 더 성장
30160,,고양이기사의 레벨을 3까지 올리세요.,고양이기사의 레벨을 3까지 올리세요.
20170,,두 번째 귀환,두 번째 귀환
30170,,던전 탐험을 마치고 마을로 복귀하세요.,던전 탐험을 마치고 마을로 복귀하세요.
20180,,토끼힐러 회복 완료,토끼힐러 회복 완료
30180,,토끼힐러의 행동력이 최대치가 될 때까지 회복하세요.,토끼힐러의 행동력이 최대치가 될 때까지 회복하세요.
20190,,회복소 합류,회복소 합류
30190,,회복이 완료된 토끼힐러를 회복소에서 합류시키세요.,회복이 완료된 토끼힐러를 회복소에서 합류시키세요.
20200,,캐릭터 교체,캐릭터 교체
30200,,현재 캐릭터를 토끼힐러로 교체하세요.,현재 캐릭터를 토끼힐러로 교체하세요.
100002,,아무 몬스터,아무 몬스터
100004,,아무 던전,아무 던전
